cpp/-O0;cpp/-O1;cpp/-O2;cpp/-O3;cpp/-Ofast;cpp/-Os;java/;php/;cs/;java//no-inline;php//no-inline;cs//no-inlline;java//dce=no;php//dce=no;cs//dce=no;java//no-pattern-matching;php//no-pattern-matching;cs//no-pattern-matching;java//no-opt;php//no-opt;cs//no-opt;Test suite
1.633663366;1.579207921;1;1.356435644;1.195544554;1.282178218;1.24009901;56.40346535;3.975247525;1.106435644;55.43564356;2.25990099;2.391089109;63.88861386;3.99009901;1.022277228;63.43069307;19.27227723;4.74009901;63.80940594;2.403465347;core ts27
1.116336634;1.195544554;1.881188119;1.566831683;1.321782178;1;1.089108911;32.24752475;3.797029703;1.46039604;32.06188119;5.267326733;1.02970297;32.55445545;2.420792079;2.524752475;30.47524752;3.873762376;2.452970297;32.03465347;2.274752475;core ts28
1.75308642;2.703703704;2.113580247;1.375308642;1.335802469;1.108641975;1.212345679;2.577777778;5.27654321;1;1.113580247;5.217283951;2.387654321;2.725925926;5.279012346;2.528395062;2.683950617;3.888888889;1.056790123;2.558024691;3.901234568;core ts29
1.685267857;1.970982143;1.189732143;1.370535714;2.457589286;1;2.238839286;2.334821429;4.763392857;1.256696429;2.348214286;2.058035714;2.212053571;2.397321429;3.533482143;1.763392857;2.341517857;4.850446429;2.6875;2.375;3.575892857;core ts30
2.08041958;2.353146853;3.77972028;2.185314685;7.818181818;1;3.702797203;52.04545455;3.188811189;3.458041958;3.559440559;5.671328671;3.374125874;52.3951049;3.468531469;1.769230769;52.44055944;5.835664336;3.458041958;3.723776224;3.527972028;core ts31
1.593301435;1.435406699;2.698564593;1.313397129;1.358851675;2.557416268;2.409090909;33.04784689;2.232057416;1.131578947;43.81339713;4.968899522;2.370813397;38.65789474;3.799043062;2.366028708;48.55741627;2.188995215;1;51.19138756;5.002392344;core ts32
1.346793349;1;1.125890736;1.496437055;1.3847981;1.197149644;2.403800475;56.72921615;3.86935867;1.163895487;52.37767221;3.795724466;1.083135392;55.36817102;5.042755344;2.41567696;57.57957245;3.826603325;2.358669834;57.06175772;3.857482185;core ts33
2.085393258;4.307865169;1.604494382;1.11011236;1.388764045;1.773033708;2.217977528;55.9011236;2.020224719;1.02247191;55.46292135;2.006741573;1.139325843;57.39550562;2.15505618;1.847191011;44.91685393;3.615730337;1;52.65842697;3.640449438;core ts34
1.103686636;1.612903226;1.458525346;1.887096774;2.110599078;2.248847926;1.919354839;9.165898618;3.665898618;2.882488479;8.470046083;4.956221198;1;10.00460829;2.15437788;1.112903226;9.251152074;3.831797235;2.237327189;10.0921659;2.216589862;core ts35
1.218997361;1.039577836;1;2;1.889182058;2.659630607;2.686015831;2.699208443;2.506596306;1.168865435;2.707124011;2.575197889;2.551451187;2.831134565;2.422163588;5.213720317;2.836411609;4.229551451;2.683377309;2.905013193;4.142480211;core ts36
2.112903226;1;1.325806452;1.893548387;1.967741935;1.590322581;5.896774194;19.73225806;6.85483871;1.235483871;16.38709677;6.812903226;1.451612903;21.80322581;6.938709677;1.541935484;17.39677419;3;1.474193548;20.51290323;5.061290323;core ts37
2.414507772;1.295336788;1;1.507772021;1.284974093;1.461139896;1.300518135;2.803108808;4.085492228;1.20984456;2.75388601;2.461139896;2.57253886;2.800518135;2.406735751;1.461139896;2.57253886;2.512953368;1.222797927;2.647668394;4.064766839;core ts38
1.56097561;2.507760532;2.352549889;2.301552106;1.454545455;1.290465632;5.206208426;2.423503326;4.858093126;1.050997783;2.146341463;4.634146341;2.705099778;2.423503326;3.541019956;2.166297118;2.427937916;4.583148559;1;2.379157428;4.800443459;core ts39
1.604347826;1.25;1.12826087;1.132608696;2.032608696;1.07826087;2.17173913;79.09782609;2.158695652;2.841304348;76.63695652;2.056521739;1.004347826;79.16304348;2.206521739;2.854347826;78.17391304;2.076086957;1;78.92173913;2.156521739;core ts40
1.145833333;1.325520833;1.5703125;2.25;1.393229167;1;5.109375;21.41666667;5.817708333;2.106770833;24.81770833;3.833333333;1.296875;23.92708333;2.591145833;1.6796875;24.84375;4.247395833;1.028645833;20.96875;3.927083333;core ts41
1;1.665653495;3.142857143;2.042553191;1.896656535;1.167173252;1.458966565;3.212765957;6.711246201;1.468085106;3.349544073;2.814589666;3.151975684;3.03343465;5.072948328;1.525835866;3.158054711;2.756838906;3.346504559;3.072948328;2.866261398;core ts42
1;1.968058968;1.948402948;1.324324324;2.326781327;1.218673219;1.624078624;2.606879607;3.943488943;2.732186732;2.486486486;3.872235872;2.378378378;2.631449631;2.297297297;1.184275184;2.488943489;2.226044226;1.189189189;2.353808354;3.992628993;core ts43
1.285365854;2.056097561;1.270731707;2.507317073;1.297560976;1.385365854;3.3;10.61463415;5.356097561;2.634146341;10.17317073;5.295121951;1.148780488;10.58536585;3.851219512;2.397560976;11.84390244;2.23902439;1;10.74634146;5.131707317;core ts44
1.01686747;1.012048193;1.371084337;1.142168675;2.472289157;1;3.281927711;2.508433735;5.238554217;2.756626506;2.551807229;1.855421687;2.771084337;2.493975904;3.739759036;3.180722892;2.595180723;3.624096386;5.951807229;2.414457831;2.197590361;core ts45
1.26076555;2.100478469;1.571770335;2.236842105;1.28708134;1.447368421;1.155502392;2.555023923;3.830143541;2.315789474;2.421052632;2.330143541;1;2.35645933;3.88277512;1.179425837;2.715311005;2.229665072;2.480861244;2.428229665;3.794258373;core ts46
1.521252796;1.559284116;2.194630872;1.187919463;1.268456376;1.051454139;1.049217002;2.223713647;3.563758389;1;2.167785235;3.467561521;3.067114094;2.138702461;2.129753915;1.140939597;2.554809843;3.604026846;1.10738255;2.510067114;1.988814318;core ts47
1.476683938;1.580310881;2.251295337;2.106217617;1.388601036;1;1.215025907;2.81865285;3.883419689;2.551813472;23.62435233;4.256476684;1.297927461;2.634715026;2.207253886;1.142487047;2.683937824;7.170984456;1.199481865;19.27979275;2.334196891;core ts48
1.311728395;3.148148148;2.206790123;1;1.848765432;2.240740741;3.512345679;20.87345679;6.651234568;1.478395062;30.88580247;6.728395062;1.416666667;34.90740741;4.978395062;3.080246914;27.5308642;4.694444444;2.978395062;35.75308642;2.851851852;core ts49
1;1.942771084;2.063253012;2.611445783;1.668674699;1.786144578;1.590361446;3.060240964;2.86746988;1.421686747;2.921686747;2.831325301;3.138554217;21.92771084;2.581325301;1.578313253;3.036144578;6.707831325;2.987951807;3.331325301;4.88253012;core ts50
15.98133333;1.288;1;1.616;1.272;1.416;3.461333333;28.46933333;2.530666667;3.386666667;31.02133333;7.152;3.357333333;29.46933333;14.432;1.506666667;28.60266667;15.98133333;2.648;28.58133333;4.237333333;csv ts1
1.466836735;1;1.803571429;3.125;1.446428571;1.160714286;4.706632653;2.724489796;5.405612245;3.206632653;2.696428571;6.744897959;2.530612245;2.553571429;4.096938776;1.091836735;2.619897959;3.637755102;1.178571429;2.599489796;3.959183673;culture ts1
2.044198895;1;1.635359116;2.433701657;2.994475138;1.226519337;3.654696133;2.842541436;2.524861878;3.737569061;1.983425414;2.571823204;3.516574586;2.994475138;2.502762431;2.983425414;3.035911602;2.571823204;2.975138122;2.980662983;3.958563536;culture ts2
1.55505618;1.46741573;1.256179775;1.274157303;2.842696629;2.294382022;1;2.37752809;3.541573034;1.053932584;2.431460674;4.638202247;1.773033708;2.361797753;4.743820225;1.033707865;2.298876404;4.653932584;4.11011236;2.395505618;4.793258427;culture ts3
1.385057471;1.157088123;1.183908046;1.164750958;2.488505747;1;2.440613027;11.13218391;2.772030651;1.860153257;2.091954023;2.971264368;2.095785441;10.55363985;1.775862069;2.130268199;10.09961686;3.961685824;4.522988506;2.090038314;2.925287356;culture ts4
2.057260152;1.615646206;1.090853388;1.518389731;2.050887701;1.496009559;1.035477398;5.800554526;1.574133362;1.074355479;5.786032689;1.514238446;1.165469279;5.812763285;1.499073237;1.073635514;5.790107382;1.565968659;1.20358144;5.777791394;1;math ts1
1.154216867;1.339759036;1.638554217;1.771084337;1.257831325;3.686746988;2.720481928;346.8650602;5.113253012;3.334939759;345.4554217;5.074698795;2.395180723;348.5180723;3.831325301;1.130120482;345.2891566;5.159036145;1;345.6554217;5.062650602;math ts2
2.305439331;2.280334728;2.828451883;2.468619247;1;2.80334728;1.861924686;323.8033473;6.581589958;1.874476987;331.6025105;3.744769874;7.648535565;323.748954;3.786610879;1.623430962;324.7238494;6.535564854;1.677824268;322.7949791;8.983263598;math ts3
1.043256997;1.928753181;1.562340967;1.315521628;1;1.491094148;1.063613232;2.72264631;4.17302799;2.534351145;2.760814249;2.371501272;1.190839695;2.740458015;2.422391858;1.040712468;2.86259542;4.111959288;2.765903308;2.65648855;4.188295165;promise ts1
1.814925373;2.11641791;2.525373134;1.6;1;1.340298507;2.370149254;51;2.88358209;1.271641791;48.81492537;2.937313433;2.880597015;47.31343284;2.901492537;3.853731343;47.65671642;2.814925373;2.958208955;46.92238806;2.770149254;promise ts2
1.360986547;1.302690583;1.396860987;1.316143498;1.307174888;1.477578475;5.226457399;2.392376682;3.632286996;4.161434978;12.49103139;3.553811659;1.044843049;2.313901345;3.612107623;2.208520179;12.48430493;6.065022422;1;11.43497758;4.771300448;promise ts3
1.498886414;1.367483296;1.262806236;1.465478842;1.679287305;1.080178174;2.86636971;2.345211581;5.904231626;1.004454343;2.305122494;2.020044543;1;2.423162584;3.483296214;1.035634744;2.409799555;4.583518931;3.118040089;2.260579065;4.85077951;text ts1
3.35;2.25;1;1.9;1.05;3.4;1.35;2.6;1.7;3.8;1.35;3.35;1.25;15.8;1.2;3.7;2.85;1.2;3.55;6.35;3.9;text ts2
1.044776119;1;1.154228856;1.189054726;1.743781095;1.251243781;1.940298507;2.970149254;2.253731343;2.674129353;2.584577114;5.410447761;1.072139303;2.731343284;3.945273632;3.009950249;2.674129353;2.370646766;2.470149254;2.490049751;2.293532338;color ts1
1;1.185053381;1.839857651;2.071174377;2.28113879;1.516014235;7.181494662;3.697508897;5.765124555;2.889679715;3.754448399;3.12455516;4.263345196;3.882562278;3.288256228;4.601423488;3.939501779;3.202846975;4.665480427;3.651245552;5.786476868;color ts2
1;1.188544153;1.269689737;1.112171838;1.15274463;1.742243437;2.081145585;2.298329356;3.770883055;3.114558473;2.584725537;3.785202864;4.30548926;2.747016706;3.856801909;2.966587112;2.565632458;3.849642005;3.066825776;2.630071599;2.307875895;color ts3
1.057057057;1;1.42042042;2.306306306;1.612612613;1.048048048;3.888888889;23.24924925;4.831831832;1.378378378;21.22222222;2.906906907;3.021021021;28.5975976;4.708708709;3.876876877;24.84684685;6.294294294;4.081081081;25.03603604;2.495495495;color ts4
1;2.1;1;2.65;1;3.05;2.25;1.6;2.8;4.15;2.25;104.05;3.05;1.35;2.7;1.6;1.35;4.85;3.25;2.5;2.2;color ts5
2.783083166;2.927747171;2.780721143;2.939425329;3.496796754;2.780496817;1.496638406;6.989311517;1.013340811;1.658166463;6.969795137;1.043796391;1.51470986;6.973470128;1.04902847;1.582179263;6.977956652;1;1.625632567;6.972625606;1.011018375;color ts6
1;2.008379888;1.43575419;1.776536313;1.695530726;2.055865922;3.723463687;2.907821229;4.446927374;3.055865922;2.854748603;4.608938547;1.11452514;2.865921788;6.24301676;3.653631285;2.896648045;4.701117318;3.715083799;2.910614525;6.094972067;color ts7
1.420689655;1.222988506;1.583908046;1.434482759;1.528735632;1.312643678;5.163218391;2.15862069;3.770114943;1.781609195;2.473563218;3.650574713;2.473563218;2.429885057;2.167816092;1;2.526436782;3.634482759;2.737931034;2.326436782;3.790804598;color ts8
1.388489209;1.498800959;1.402877698;1.278177458;1.568345324;1.105515588;1.119904077;2.429256595;5.230215827;2.3117506;2.338129496;2.115107914;1.402877698;2.580335731;3.824940048;1.035971223;2.539568345;3.822541966;1;2.527577938;2.134292566;color ts9
1.106329114;1.93164557;1;1.551898734;1.339240506;1.658227848;1.159493671;2.643037975;4.111392405;5.116455696;2.665822785;4.083544304;1.015189873;2.729113924;4.116455696;2.997468354;2.756962025;4.06835443;1.169620253;2.696202532;2.481012658;color ts10
1.421404682;2.899665552;1.782608696;1.571906355;1.739130435;1;3.344481605;3.719063545;2.822742475;1.511705686;3.404682274;5.397993311;7.933110368;3.571906355;5.314381271;1.628762542;3.518394649;7.317725753;1.551839465;3.454849498;3.107023411;color ts11
1;1.704761905;2.053968254;2.244444444;1.59047619;2.676190476;3.863492063;3.403174603;2.815873016;5.692063492;3.168253968;5.168253968;3.076190476;3.19047619;2.936507937;3.092063492;3.26984127;2.866666667;1.434920635;3.380952381;5.19047619;color ts12
1.271523179;1.70419426;1.216335541;1.441501104;1.291390728;1.494481236;1.008830022;2.247240618;4.843267108;1;2.375275938;2.008830022;5.231788079;2.253863135;2.214128035;3.035320088;2.344370861;3.432671082;1.761589404;2.315673289;3.518763797;color ts13
1.357819905;2.052132701;1.265402844;2.206161137;1.412322275;2.163507109;3.056872038;32.58530806;3.838862559;1.059241706;31.43127962;3.72985782;1.035545024;32.58056872;2.372037915;2.298578199;32.33412322;3.845971564;1;2.606635071;3.751184834;color ts14
1;1.5;2.385572139;1.281094527;1.333333333;1.425373134;1.097014925;2.544776119;5.298507463;2.532338308;2.584577114;2.395522388;1.179104478;2.649253731;5.447761194;1.064676617;2.422885572;2.236318408;1.15920398;2.587064677;2.248756219;color ts15
1;1.546875;1.3359375;2.013020833;2.072916667;1.104166667;2.583333333;2.721354167;4.270833333;3.28125;2.713541667;4.143229167;1.169270833;2.5859375;4.1484375;2.580729167;2.744791667;5.606770833;2.645833333;2.752604167;5.549479167;color ts16
1.420792079;1.804455446;1.915841584;2.037128713;1.537128713;1;3.032178218;2.70049505;5.435643564;3.074257426;2.445544554;3.888613861;2.475247525;2.584158416;5.589108911;2.455445545;2.51980198;2.227722772;1.183168317;2.50990099;4.01980198;color ts17
2.466898955;1.285714286;2.205574913;1.630662021;2.254355401;1.675958188;1.574912892;3.679442509;7.526132404;6.515679443;3.696864111;5.202090592;8.271777003;3.693379791;5.515679443;1;3.62369338;3.358885017;1.463414634;3.637630662;5.714285714;color ts18
2.512768306;2.555402919;2.20753097;2.462872562;2.196933644;2.723193916;1.885195634;6.587366614;1.032233534;1.915638415;6.590899056;1.006427082;3.509211333;6.591193426;1.041040108;3.559941126;6.585992886;1.02575739;2.261155403;6.588004416;1;color ts19
1;2.345744681;1.151595745;1.380319149;1.406914894;1.271276596;3.332446809;30.84042553;6.843085106;4.811170213;28.08776596;2.555851064;4.510638298;35.02925532;14.98670213;2.654255319;28.79255319;5.627659574;2.018617021;26.57712766;14.36702128;utest ts1
1;2.153301887;1.311320755;1.219339623;1.79009434;1.252358491;3.094339623;2.485849057;3.610849057;1.910377358;2.507075472;3.724056604;3.075471698;2.33490566;3.462264151;2.617924528;2.558962264;3.771226415;3.094339623;2.353773585;4.988207547;utest ts2
